,queue_number,transaction_type,amount,balance_after,status,target_account
47,A-008,โอนเงิน,492.81,2281.3,สำเร็จ,987-6-98106-0
48,A-009,ฝากเงิน,922.01,1180.27,สำเร็จ,-
49,A-010,โอนเงิน,1635.68,838.02,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-11424-0
50,A-011,ฝากเงิน,590.14,3034.88,สำเร็จ,-
51,A-012,ฝากเงิน,1227.74,2110.36,สำเร็จ,-
52,A-013,ถอนเงิน,269.57,123.51,ไม่สำเร็จ (ยอดเงินไม่พอ),-
53,A-014,ฝากเงิน,1489.7,2534.82,สำเร็จ,-
54,A-015,โอนเงิน,1261.44,1522.41,สำเร็จ,987-6-19378-0
55,A-016,ฝากเงิน,1555.45,2598.08,สำเร็จ,-
56,A-017,ถอนเงิน,1432.42,397.74,ไม่สำเร็จ (ยอดเงินไม่พอ),-
57,A-018,ฝากเงิน,576.13,3458.15,สำเร็จ,-
58,A-019,โอนเงิน,761.16,1817.55,สำเร็จ,987-6-21849-0
59,A-020,ฝากเงิน,608.3,3543.03,สำเร็จ,-
60,A-021,ถอนเงิน,1816.51,586.46,ไม่สำเร็จ (ยอดเงินไม่พอ),-
61,A-022,โอนเงิน,919.39,369.93,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-42534-0
62,A-023,ฝากเงิน,107.62,1765.97,สำเร็จ,-
63,A-024,ฝากเงิน,428.42,2132.72,สำเร็จ,-
64,A-025,ฝากเงิน,1603.07,3333.93,สำเร็จ,-
65,A-026,ถอนเงิน,828.19,1646.78,สำเร็จ,-
66,A-027,โอนเงิน,1933.4,1004.66,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-58985-0
67,A-028,โอนเงิน,1386.8,1054.27,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-55903-0
68,A-029,โอนเงิน,744.79,1357.17,สำเร็จ,987-6-59487-0
69,A-030,ถอนเงิน,107.36,1863.23,สำเร็จ,-
70,A-031,โอนเงิน,1082.13,1099.29,สำเร็จ,987-6-91269-0
71,A-032,ถอนเงิน,106.69,1698.51,สำเร็จ,-
72,A-033,โอนเงิน,570.5,378.67,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-30458-0
73,A-034,ฝากเงิน,438.49,2946.47,สำเร็จ,-
74,A-035,โอนเงิน,1760.49,995.35,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-32232-0
75,A-036,ฝากเงิน,614.56,2917.44,สำเร็จ,-
76,A-037,โอนเงิน,137.51,2052.53,สำเร็จ,987-6-93358-0
77,A-038,ฝากเงิน,496.89,1304.14,สำเร็จ,-
78,A-039,โอนเงิน,1829.65,1185.32,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-32092-0
79,A-040,โอนเงิน,1455.53,895.54,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-83537-0
80,A-001,โอนเงิน,1600.56,1071.81,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-42011-0
81,A-002,ถอนเงิน,701.41,2136.22,สำเร็จ,-
82,A-003,โอนเงิน,414.7,986.25,สำเร็จ,987-6-44338-0
83,A-004,ฝากเงิน,363.38,3101.43,สำเร็จ,-
84,A-005,โอนเงิน,1464.5,620.73,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-62036-0
85,A-006,ฝากเงิน,289.95,528.2,สำเร็จ,-
86,A-007,โอนเงิน,1104.22,1818.61,สำเร็จ,987-6-96890-0
87,A-008,ฝากเงิน,1416.01,2192.4,สำเร็จ,-
88,A-009,ถอนเงิน,547.9,906.97,สำเร็จ,-
89,A-010,โอนเงิน,727.22,428.07,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-12020-0
90,A-011,โอนเงิน,1788.78,946.91,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-94678-0
91,A-012,โอนเงิน,835.82,850.21,สำเร็จ,987-6-27036-0
92,A-013,ฝากเงิน,1695.96,1927.3,สำเร็จ,-
93,A-014,ฝากเงิน,323.13,989.07,สำเร็จ,-
94,A-015,โอนเงิน,840.43,37.24,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-17888-0
95,A-016,โอนเงิน,1250.17,711.66,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-64086-0
96,A-017,โอนเงิน,1119.17,307.79,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-33275-0
97,A-018,ถอนเงิน,1845.43,736.74,ไม่สำเร็จ (ยอดเงินไม่พอ),-
98,A-019,ถอนเงิน,288.64,219.59,ไม่สำเร็จ (ยอดเงินไม่พอ),-
99,A-020,ถอนเงิน,1444.53,173.97,ไม่สำเร็จ (ยอดเงินไม่พอ),-
100,A-021,ถอนเงิน,673.5,272.7,ไม่สำเร็จ (ยอดเงินไม่พอ),-
101,A-022,โอนเงิน,322.56,668.17,สำเร็จ,987-6-83030-0
102,A-023,ถอนเงิน,743.46,2161.75,สำเร็จ,-
103,A-024,โอนเงิน,952.36,1252.36,สำเร็จ,987-6-13967-0
104,A-025,ถอนเงิน,479.95,1148.15,สำเร็จ,-
105,A-026,โอนเงิน,182.79,1486.86,สำเร็จ,987-6-56218-0
106,A-027,โอนเงิน,1522.18,126.84,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-52673-0
107,A-028,ถอนเงิน,958.45,540.66,ไม่สำเร็จ (ยอดเงินไม่พอ),-
108,A-029,โอนเงิน,1095.05,1501.12,สำเร็จ,987-6-54387-0
109,A-030,ถอนเงิน,864.89,984.62,สำเร็จ,-
110,A-031,ฝากเงิน,575.24,2341.9,สำเร็จ,-
111,A-032,โอนเงิน,1394.5,416.27,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-84870-0
112,A-033,โอนเงิน,1716.19,826.99,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-87379-0
113,A-034,ฝากเงิน,1634.16,4383.66,สำเร็จ,-
114,A-035,ฝากเงิน,797.6,3260.45,สำเร็จ,-
115,A-036,ถอนเงิน,1518.89,73.62,ไม่สำเร็จ (ยอดเงินไม่พอ),-
116,A-037,ถอนเงิน,1717.17,120.34,ไม่สำเร็จ (ยอดเงินไม่พอ),-
117,A-038,โอนเงิน,1785.66,1030.33,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-84969-0
118,A-039,โอนเงิน,1129.88,156.5,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-49571-0
119,A-040,โอนเงิน,1213.91,1143.27,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-11259-0
120,A-001,ถอนเงิน,1175.23,147.47,ไม่สำเร็จ (ยอดเงินไม่พอ),-
121,A-002,ถอนเงิน,610.86,1824.23,สำเร็จ,-
122,A-003,ถอนเงิน,321.37,201.22,ไม่สำเร็จ (ยอดเงินไม่พอ),-
123,A-004,ถอนเงิน,341.53,2550.09,สำเร็จ,-
124,A-005,ถอนเงิน,1413.51,1090.23,ไม่สำเร็จ (ยอดเงินไม่พอ),-
125,A-006,ฝากเงิน,273.62,985.99,สำเร็จ,-
126,A-007,ฝากเงิน,1011.6,2303.12,สำเร็จ,-
127,A-008,ฝากเงิน,1914.15,3662.1,สำเร็จ,-
128,A-009,โอนเงิน,296.02,1799.88,สำเร็จ,987-6-99725-0
129,A-010,โอนเงิน,1629.73,972.4,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-94445-0
130,A-011,ถอนเงิน,1370.53,717.76,ไม่สำเร็จ (ยอดเงินไม่พอ),-
131,A-012,โอนเงิน,834.09,693.73,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-80348-0
132,A-013,โอนเงิน,1800.51,961.52,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-23481-0
133,A-014,โอนเงิน,759.07,118.53,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-23206-0
134,A-015,ฝากเงิน,613.64,1936.01,สำเร็จ,-
135,A-016,ฝากเงิน,1237.14,2925.43,สำเร็จ,-
136,A-017,ถอนเงิน,1012.28,887.59,ไม่สำเร็จ (ยอดเงินไม่พอ),-
137,A-018,ฝากเงิน,434.7,2718.58,สำเร็จ,-
138,A-019,โอนเงิน,719.41,499.08,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-91598-0
139,A-020,ฝากเงิน,324.97,2486.93,สำเร็จ,-
140,A-021,ฝากเงิน,1401.06,3181.54,สำเร็จ,-
141,A-022,ถอนเงิน,138.1,2381.49,สำเร็จ,-
142,A-023,ถอนเงิน,1971.48,893.52,ไม่สำเร็จ (ยอดเงินไม่พอ),-
143,A-024,ฝากเงิน,759.34,1610.52,สำเร็จ,-
144,A-025,ฝากเงิน,274.46,1263.09,สำเร็จ,-
145,A-026,ถอนเงิน,248.8,944.12,สำเร็จ,-
146,A-027,ถอนเงิน,1078.95,1829.04,สำเร็จ,-
147,A-028,ถอนเงิน,1753.73,369.57,ไม่สำเร็จ (ยอดเงินไม่พอ),-
148,A-029,ฝากเงิน,848.16,2824.83,สำเร็จ,-
149,A-030,ถอนเงิน,508.54,393.3,ไม่สำเร็จ (ยอดเงินไม่พอ),-
150,A-031,ถอนเงิน,999.14,1173.94,สำเร็จ,-
151,A-032,โอนเงิน,1703.25,1594.9,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-50386-0
152,A-033,โอนเงิน,395.97,117.35,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-53970-0
153,A-034,ถอนเงิน,395.65,2152.24,สำเร็จ,-
154,A-035,โอนเงิน,1367.07,490.86,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-94270-0
155,A-036,ฝากเงิน,1167.64,2639.27,สำเร็จ,-
156,A-037,ถอนเงิน,803.27,1069.29,สำเร็จ,-
157,A-038,ฝากเงิน,1424.99,3996.17,สำเร็จ,-
158,A-039,โอนเงิน,1587.56,1165.77,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-42135-0
159,A-040,ฝากเงิน,1908.74,2381.5,สำเร็จ,-
160,A-001,ฝากเงิน,1288.97,3225.8,สำเร็จ,-
161,A-002,ฝากเงิน,1616.56,3611.23,สำเร็จ,-
162,A-003,ฝากเงิน,1793.63,3520.46,สำเร็จ,-
163,A-004,ฝากเงิน,1012.49,2257.24,สำเร็จ,-
164,A-005,ถอนเงิน,737.66,1285.52,สำเร็จ,-
165,A-006,โอนเงิน,1569.0,1266.34,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-81044-0
166,A-007,ฝากเงิน,1860.86,2431.45,สำเร็จ,-
167,A-008,ถอนเงิน,1888.56,439.56,ไม่สำเร็จ (ยอดเงินไม่พอ),-
168,A-009,ถอนเงิน,1669.45,156.8,ไม่สำเร็จ (ยอดเงินไม่พอ),-
169,A-010,ถอนเงิน,1627.34,1120.23,ไม่สำเร็จ (ยอดเงินไม่พอ),-
170,A-011,โอนเงิน,1119.08,1792.36,สำเร็จ,987-6-12827-0
171,A-012,โอนเงิน,1609.36,600.93,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-95662-0
172,A-013,ฝากเงิน,1581.01,3375.23,สำเร็จ,-
173,A-014,โอนเงิน,1009.95,805.56,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-71135-0
174,A-015,ฝากเงิน,416.73,3427.11,สำเร็จ,-
175,A-016,ฝากเงิน,893.46,3065.52,สำเร็จ,-
176,A-017,ถอนเงิน,1863.55,1770.1,ไม่สำเร็จ (ยอดเงินไม่พอ),-
177,A-018,ฝากเงิน,738.62,1612.0,สำเร็จ,-
178,A-019,ฝากเงิน,125.59,3051.24,สำเร็จ,-
179,A-020,ฝากเงิน,1460.61,3284.23,สำเร็จ,-
180,A-021,ฝากเงิน,1876.02,4319.81,สำเร็จ,-
181,A-022,โอนเงิน,361.16,115.15,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-41616-0
182,A-023,โอนเงิน,484.58,2514.4,สำเร็จ,987-6-49038-0
183,A-024,ฝากเงิน,1117.19,2749.25,สำเร็จ,-
184,A-025,โอนเงิน,1639.39,404.79,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-91049-0
185,A-026,ฝากเงิน,1584.38,4100.57,สำเร็จ,-
186,A-027,ฝากเงิน,567.21,2161.43,สำเร็จ,-
187,A-028,โอนเงิน,1083.15,704.47,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-36416-0
188,A-029,ฝากเงิน,1135.49,2041.89,สำเร็จ,-
189,A-030,ถอนเงิน,1560.9,1274.62,ไม่สำเร็จ (ยอดเงินไม่พอ),-
190,A-031,ฝากเงิน,130.16,1671.38,สำเร็จ,-
191,A-032,ฝากเงิน,1388.42,4002.13,สำเร็จ,-
192,A-033,โอนเงิน,461.0,766.25,สำเร็จ,987-6-57150-0
193,A-034,ฝากเงิน,198.42,2757.94,สำเร็จ,-
194,A-035,โอนเงิน,1051.99,200.24,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-94686-0
195,A-036,ถอนเงิน,1820.85,1082.11,ไม่สำเร็จ (ยอดเงินไม่พอ),-
196,A-037,ถอนเงิน,1218.5,1205.45,ไม่สำเร็จ (ยอดเงินไม่พอ),-
197,A-038,ถอนเงิน,1602.66,1323.44,ไม่สำเร็จ (ยอดเงินไม่พอ),-
198,A-039,ฝากเงิน,1106.14,3879.89,สำเร็จ,-
199,A-040,ถอนเงิน,1207.18,1514.25,สำเร็จ,-
200,A-001,ฝากเงิน,1639.66,4481.41,สำเร็จ,-
201,A-002,ถอนเงิน,1220.21,1035.18,ไม่สำเร็จ (ยอดเงินไม่พอ),-
202,A-003,โอนเงิน,800.12,288.31,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-62041-0
203,A-004,ฝากเงิน,1275.38,3481.78,สำเร็จ,-
204,A-005,ถอนเงิน,1479.68,792.79,ไม่สำเร็จ (ยอดเงินไม่พอ),-
205,A-006,ฝากเงิน,672.51,3203.71,สำเร็จ,-
206,A-007,ฝากเงิน,1080.73,2500.13,สำเร็จ,-
207,A-008,โอนเงิน,411.24,221.09,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-34165-0
208,A-009,โอนเงิน,1216.14,357.24,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-35729-0
209,A-010,โอนเงิน,736.36,1482.94,สำเร็จ,987-6-74060-0
210,A-011,ฝากเงิน,1807.5,1963.13,สำเร็จ,-
211,A-012,ถอนเงิน,480.48,463.79,ไม่สำเร็จ (ยอดเงินไม่พอ),-
212,A-013,โอนเงิน,239.61,392.54,สำเร็จ,987-6-65868-0
213,A-014,ฝากเงิน,1025.95,3083.07,สำเร็จ,-
214,A-015,ฝากเงิน,1329.16,3515.83,สำเร็จ,-
215,A-016,ถอนเงิน,1502.93,353.09,ไม่สำเร็จ (ยอดเงินไม่พอ),-
216,A-017,โอนเงิน,1630.84,34.83,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-89246-0
217,A-018,ฝากเงิน,1794.62,3418.3,สำเร็จ,-
218,A-019,โอนเงิน,930.98,428.88,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-80923-0
219,A-020,ถอนเงิน,128.43,880.17,สำเร็จ,-
220,A-021,โอนเงิน,1375.82,296.56,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-89617-0
221,A-022,โอนเงิน,1928.54,173.98,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-93986-0
222,A-023,โอนเงิน,818.23,2135.15,สำเร็จ,987-6-63439-0
223,A-024,โอนเงิน,1273.31,762.48,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-37544-0
224,A-025,ถอนเงิน,1513.25,105.8,ไม่สำเร็จ (ยอดเงินไม่พอ),-
225,A-026,ถอนเงิน,378.13,1003.99,สำเร็จ,-
226,A-027,ถอนเงิน,1208.86,1259.92,สำเร็จ,-
227,A-028,ถอนเงิน,264.22,171.72,ไม่สำเร็จ (ยอดเงินไม่พอ),-
228,A-029,โอนเงิน,294.72,1315.84,สำเร็จ,987-6-16334-0
229,A-030,ถอนเงิน,1377.63,857.06,ไม่สำเร็จ (ยอดเงินไม่พอ),-
230,A-031,ถอนเงิน,1122.1,1273.65,สำเร็จ,-
231,A-032,โอนเงิน,605.9,1107.4,สำเร็จ,987-6-37623-0
232,A-033,โอนเงิน,1943.37,1433.83,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-25695-0
233,A-034,ฝากเงิน,1060.67,3419.51,สำเร็จ,-
234,A-035,โอนเงิน,1610.23,532.13,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-40269-0
235,A-036,ฝากเงิน,1927.39,3793.12,สำเร็จ,-
236,A-037,โอนเงิน,484.5,1753.67,สำเร็จ,987-6-43046-0
237,A-038,ถอนเงิน,161.3,2189.45,สำเร็จ,-
238,A-039,โอนเงิน,1269.42,1239.26,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-55050-0
239,A-040,ฝากเงิน,316.29,2697.62,สำเร็จ,-
240,A-001,ถอนเงิน,1680.02,1444.74,ไม่สำเร็จ (ยอดเงินไม่พอ),-
241,A-002,ถอนเงิน,803.55,596.06,ไม่สำเร็จ (ยอดเงินไม่พอ),-
242,A-003,ฝากเงิน,1325.3,1844.61,สำเร็จ,-
243,A-004,ถอนเงิน,425.93,580.9,สำเร็จ,-
244,A-005,ฝากเงิน,304.1,2425.04,สำเร็จ,-
245,A-006,โอนเงิน,1914.53,1149.38,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-76008-0
246,A-007,ถอนเงิน,328.79,197.55,ไม่สำเร็จ (ยอดเงินไม่พอ),-
247,A-008,ฝากเงิน,1170.34,2348.29,สำเร็จ,-
248,A-009,ฝากเงิน,1954.07,3170.7,สำเร็จ,-
249,A-010,โอนเงิน,1189.47,1546.55,สำเร็จ,987-6-67587-0
250,A-011,ฝากเงิน,1741.92,3144.38,สำเร็จ,-
251,A-012,ฝากเงิน,1567.77,2174.32,สำเร็จ,-
252,A-013,โอนเงิน,550.91,2095.37,สำเร็จ,987-6-95981-0
253,A-014,โอนเงิน,413.51,2148.3,สำเร็จ,987-6-51430-0
254,A-015,ถอนเงิน,1812.39,1573.13,ไม่สำเร็จ (ยอดเงินไม่พอ),-
255,A-016,โอนเงิน,1362.13,690.32,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-21743-0
256,A-017,ถอนเงิน,1717.04,286.74,ไม่สำเร็จ (ยอดเงินไม่พอ),-
257,A-018,ถอนเงิน,694.83,1955.25,สำเร็จ,-
258,A-019,ฝากเงิน,652.49,2033.73,สำเร็จ,-
259,A-020,โอนเงิน,1174.53,929.52,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-28719-0
260,A-021,โอนเงิน,778.03,980.76,สำเร็จ,987-6-68883-0
261,A-022,โอนเงิน,561.5,1414.59,สำเร็จ,987-6-78072-0
262,A-023,โอนเงิน,1429.22,991.21,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-11733-0
263,A-024,โอนเงิน,1168.23,241.89,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-58274-0
264,A-025,โอนเงิน,1406.6,282.87,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-56802-0
265,A-026,ฝากเงิน,940.19,3864.44,สำเร็จ,-
266,A-027,โอนเงิน,1194.31,276.32,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-37311-0
267,A-028,ฝากเงิน,698.15,3728.36,สำเร็จ,-
268,A-029,ถอนเงิน,1442.54,1449.58,สำเร็จ,-
269,A-030,ถอนเงิน,1596.25,463.69,ไม่สำเร็จ (ยอดเงินไม่พอ),-
270,A-031,โอนเงิน,1455.11,786.86,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-79889-0
271,A-032,ฝากเงิน,492.2,2726.32,สำเร็จ,-
272,A-033,ถอนเงิน,445.78,1185.44,สำเร็จ,-
273,A-034,ถอนเงิน,1027.75,1744.71,สำเร็จ,-
274,A-035,โอนเงิน,1573.87,279.75,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-40121-0
275,A-036,โอนเงิน,737.06,400.68,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-63658-0
276,A-037,ถอนเงิน,282.46,1407.33,สำเร็จ,-
277,A-038,ฝากเงิน,764.9,2676.4,สำเร็จ,-
278,A-039,ฝากเงิน,295.61,1736.73,สำเร็จ,-
279,A-040,โอนเงิน,836.3,563.6,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-86177-0
280,A-001,ฝากเงิน,1530.69,1950.44,สำเร็จ,-
281,A-002,ถอนเงิน,334.43,693.22,สำเร็จ,-
282,A-003,โอนเงิน,707.63,1735.3,สำเร็จ,987-6-80288-0
283,A-004,โอนเงิน,1119.46,1712.92,สำเร็จ,987-6-18065-0
284,A-005,ถอนเงิน,754.14,1102.87,สำเร็จ,-
285,A-006,โอนเงิน,855.14,365.54,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-60947-0
286,A-007,ฝากเงิน,1582.22,2395.96,สำเร็จ,-
287,A-008,ถอนเงิน,657.99,113.14,ไม่สำเร็จ (ยอดเงินไม่พอ),-
288,A-009,ฝากเงิน,1602.62,3946.0,สำเร็จ,-
289,A-010,โอนเงิน,1311.75,309.32,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-30759-0
290,A-011,ฝากเงิน,1931.89,2415.11,สำเร็จ,-
291,A-012,โอนเงิน,734.28,1423.32,สำเร็จ,987-6-57005-0
292,A-013,โอนเงิน,1416.77,102.04,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-79847-0
293,A-014,โอนเงิน,497.18,2.68,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-60283-0
294,A-015,ฝากเงิน,977.39,3210.18,สำเร็จ,-
295,A-016,ฝากเงิน,1086.05,3550.65,สำเร็จ,-
296,A-017,โอนเงิน,1465.4,152.77,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-46782-0
297,A-018,ถอนเงิน,1331.3,1312.42,ไม่สำเร็จ (ยอดเงินไม่พอ),-
298,A-019,ฝากเงิน,552.2,1371.47,สำเร็จ,-
299,A-020,โอนเงิน,202.96,123.83,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-27405-0
